content,score,at,userName
Sangat bagus,5,2025-02-17 08:24:47,Pengguna Google
good,5,2025-02-17 08:18:13,Pengguna Google
Untuk Heronya op banget coba nanti di tambah lagi Heronya,5,2025-02-17 08:16:53,Pengguna Google
gamenya bagus dan sangat lancar walau agak berat sih,5,2025-02-17 08:15:12,Pengguna Google
"Overal game sangat bagus ga ada minus,namun tiap match selalu dapat tim kayak bot, masa 30 match main kalah 20x dan mvp kalah 20x juga. Ini maksudnya gimana ya kok tim saya rusak semuanya. Masak ga pernah liat map ga pernah join war",2,2025-02-17 08:15:03,Pengguna Google
🥰,5,2025-02-17 08:10:06,Pengguna Google
banyak skin gratis dan bagus bagus,5,2025-02-17 08:07:57,Pengguna Google
Game nya seru dan grafik nya juga bagus 👍,4,2025-02-17 08:00:47,Pengguna Google
gemya keren,4,2025-02-17 07:58:35,Pengguna Google
Tolong lah lawan nya seimbang masa main aku kalah terus udahlah kawannya gak jago. Malah lawannya lebih jago dari kawan seharus nya setim lebih jago dan kompak malah pada egois. Tolong!!!!!!!!!!!!!!!!!! Admin nya pilih kawan yang lebih jago dan lawannya jangan yang kuat udah lah kawan lemah kalau sama² kuat mending seimbang kedua nya ini kawan nya lemah ditambah lawan nya kuat gak seimbang,1,2025-02-17 07:57:26,Pengguna Google
gamenya sangat babi,5,2025-02-17 07:53:34,Pengguna Google
Game bagus dan jomoknyee kental bgt,4,2025-02-17 07:52:33,Pengguna Google
game nya seru dan menantang Karakternya juga lucu-lucu,4,2025-02-17 07:52:12,Pengguna Google
mantap,5,2025-02-17 07:51:41,Pengguna Google
best game,5,2025-02-17 07:50:11,Pengguna Google
good,5,2025-02-17 07:47:22,Pengguna Google
pokok nya honor mantap jiwa👍,5,2025-02-17 07:39:27,Pengguna Google
"Gameplay nya sangat bagus dan seru, grafik juga mantap pokoknya kembangkan terus dan Jadilah top 1",5,2025-02-17 07:38:46,Pengguna Google
Game yg gampang untuk moba.,5,2025-02-17 07:38:11,Pengguna Google
Kenapa setiap main selalu dapat tim yang tidak tau bermain dan tidak mengerti item,4,2025-02-17 07:34:39,Pengguna Google
"Semangat om Tencent, semoga aku bisa win streak, lopyu all, wkwk",5,2025-02-17 07:18:47,Pengguna Google
"Tencent kenapa akhir akhir ini saya ngelag ya main nya dari november 2024 Dan dulu juga kalo main biasa"" aja Tapi sekarang ngelag banget Skin nya juga bagus bagus loh,hanya ngelag nya aja gangguin,jadi sering afk deh",1,2025-02-17 07:12:31,Pengguna Google
"I just wanna say two words, GOOD JOB 👍",1,2025-02-17 07:07:28,Pengguna Google
"seru, tapi tolong gb nya di kurangin, memori gw sampe penuh jir 🥰🤓",5,2025-02-17 06:59:26,Pengguna Google
HOK lebih baik daripada game sebelah inisial MLBB alias mobile legend: bang bang,5,2025-02-17 06:52:21,Pengguna Google
kerenn,5,2025-02-17 06:50:47,Pengguna Google
Bagus banget hero nya pun gratis,5,2025-02-17 06:37:05,Pengguna Google
sangat baik,5,2025-02-17 06:32:59,Pengguna Google
pengalaman baru,5,2025-02-17 06:32:56,Pengguna Google
mantap,5,2025-02-17 06:22:12,Pengguna Google
walupun gw dah han tapi gw akan pus lagi,5,2025-02-17 06:20:51,Pengguna Google
Ada kendala bug di totorial items tolong di perbaiki,5,2025-02-17 06:19:45,Pengguna Google
"kenapa Saya Memberi Bintang 1? karena Meniru Permainan Lain Yaitu Termasuk Mobile Legends , Hero Nya Sama , Skin Nya Sama, Itu Nama Nya Peniruan, Mohon Mengganti Permainannya ini Ya , Terimakasih",1,2025-02-17 06:19:03,Pengguna Google
sangat suka,5,2025-02-17 06:15:22,Pengguna Google
Sangat seru,5,2025-02-17 06:08:19,Pengguna Google
bagus aja 😎👍👍👍👍👍,5,2025-02-17 06:05:04,Pengguna Google
"System error, sama - sama polos lawan ngehit setengah lebih habis darah, giliran aku ngehit tidak terasa sama lawannya. Game tolol overlord dll di map kelihatan waktu di datangi tidak ada. Musuh ngejar dari belakang kelihatan saat dilihat di map pada hilang, perbaikin bug map kau idiot. Tolol bener game kau, aku player dibuat seperti bot buff full tapi efeck ga masuk, deff sama hit tetap lembek. Game y memberi pengaruh buruk n mengumpat. Uninstall. Game y wajib d jauhin khususnya buat anak"".",1,2025-02-17 05:50:59,Pengguna Google
game nya bagus banget langsung dapet banyak Hero sama skin g kaya game sebelah,5,2025-02-17 05:44:39,Pengguna Google
Too bad at everthing,1,2025-02-17 05:39:53,Pengguna Google
super,5,2025-02-17 05:39:50,Pengguna Google
oke,5,2025-02-17 05:37:47,Pengguna Google
sangat bagus menghibur,5,2025-02-17 05:34:04,Pengguna Google
"seru bgt gamenya ,😊😊😊",5,2025-02-17 05:26:17,Pengguna Google
good,5,2025-02-17 05:25:50,Pengguna Google
meningan main ml harga hero nya sedikit,2,2025-02-17 05:17:33,Pengguna Google
good,5,2025-02-17 05:16:03,Pengguna Google
